Feature,SHAP,doX,Mean
X0,0.005847222222222225,0.9447983204656323,0.030524450878294973
X37,0.041166666666666636,0.9517425765155694,0.04471204507554863
X1,0.008743055555555553,0.9005436725662009,0.054099691494677304
X38,0.001888888888888889,0.865124508669942,0.06838219010947347
X7,0.017270833333333326,0.877674716917225,0.06979805820805417
X2,0.01203472222222222,0.832034964983877,0.08999987861917262
X16,0.07109722222222223,0.8907260308719288,0.09018559567514671
X32,0.08770833333333333,0.8746297762301264,0.10653927855160347
X21,0.07326388888888886,0.8502679945800052,0.1114979471544418
X27,0.03305555555555553,0.8000551918790101,0.11650018183827272
X30,0.016312499999999983,0.7755594177677058,0.12037654111614711
X35,0.013743055555555533,0.7697530939874699,0.12199498078404279
X14,0.03261805555555554,0.7869067016061216,0.12285567697471694
X17,0.06451388888888884,0.8055207673101202,0.12949656078938432
X29,0.02946527777777775,0.768715932086458,0.13037467284565984
X34,0.0029861111111111126,0.7328287582588577,0.1350786764261267
X33,0.012798611111111101,0.741867373183188,0.13546561896396156
X41,0.006659722222222225,0.7345415044844428,0.13605910886888972
X13,0.04557638888888888,0.7692237167043793,0.1381763360922548
X15,0.024104166666666656,0.7317259297473776,0.14618911845964452
X40,0.00661805555555556,0.7078711960158222,0.1493734297698667
X43,0.01947222222222219,0.718662080454723,0.15040507088374958
X23,0.029312499999999988,0.7274176580470512,0.1509474209764744
X44,0.03668055555555552,0.7278963289717834,0.15439211329188607
X24,0.015479166666666655,0.6879561832266666,0.16376149172
X31,0.01062499999999999,0.6784771622712575,0.16607391886437123
X6,0.07161805555555553,0.7349267989106453,0.16834562832245514
X28,0.038916666666666655,0.6876886483480245,0.1756140091593211
X42,0.029062499999999977,0.6777699944351583,0.17564625278242085
X19,0.028368055555555542,0.6681137960741856,0.18012712974068495
X26,0.020277777777777756,0.6465248804569274,0.1868764486604252
X36,0.02252083333333331,0.6151888358135609,0.20366599875988622
X25,0.005479166666666668,0.5945596957265863,0.20545973547004018
X22,0.007409722222222224,0.5926818178995759,0.2073639521613232
X11,0.017062499999999994,0.6007570931860338,0.2081527034069831
X18,0.014576388888888875,0.5950242449604289,0.20977607196422998
X5,0.0278611111111111,0.6010132009467615,0.21342395508217482
X3,0.0004722222222222226,0.5668083017696186,0.2168319602263018
X12,0.003458333333333335,0.5641068157869893,0.21967575877317203
X9,0.07254166666666668,0.6296336585072938,0.22145400407968643
X20,0.00840277777777777,0.5153103878885246,0.2465461949446266
X4,0.03163194444444442,0.49769617650285924,0.2669678839707926
X10,0.009993055555555548,0.4616440884897934,0.27417448353288104
X8,0.047006944444444414,0.3842810810758403,0.33136293168430203
X39,0.012124999999999976,0.2838001540459225,0.3641624229770387
