Iteration,Total shuffled,CDNN F1,CDNN ROC AUC,DNN F1,DNN ROC AUC,Delta F1,Delta ROC AUC
+X0,1,0.8252,0.8515,0.8493,0.8717,-0.0241,-0.0203
+X37,2,0.8082,0.8373,0.8514,0.8738,-0.0431,-0.0365
+X1,3,0.8552,0.8765,0.8472,0.8697,0.0080,0.0068
+X38,4,0.8784,0.8967,0.8243,0.8508,0.0541,0.0459
+X7,5,0.8299,0.8556,0.8493,0.8717,-0.0194,-0.0162
+X2,6,0.7887,0.8218,0.7973,0.8279,-0.0086,-0.0061
+X16,7,0.8356,0.8603,0.7778,0.8123,0.0578,0.0479
+X32,8,0.7552,0.7941,0.6765,0.7353,0.0788,0.0588
+X21,9,0.7857,0.8197,0.6980,0.7429,0.0877,0.0769
+X27,10,0.7945,0.8259,0.6667,0.7179,0.1279,0.1080
+X30,11,0.7172,0.7617,0.6803,0.7293,0.0370,0.0324
+X35,12,0.6713,0.7253,0.6400,0.6922,0.0313,0.0330
+X14,13,0.7133,0.7597,0.6452,0.6916,0.0681,0.0681
+X17,14,0.7152,0.7564,0.6286,0.6935,0.0867,0.0629
+X29,15,0.6759,0.7273,0.6115,0.6592,0.0644,0.0681
+X34,16,0.6759,0.7273,0.6375,0.6795,0.0384,0.0478
+X33,17,0.7536,0.7947,0.5478,0.6019,0.2059,0.1929
+X41,18,0.7133,0.7597,0.6275,0.6781,0.0858,0.0816
+X13,19,0.6763,0.7327,0.5857,0.6591,0.0905,0.0736
+X15,20,0.6667,0.7152,0.5478,0.6019,0.1189,0.1133
